"name","brand_name","application_number","Action_Date","submission_class_code_description","New_Ind_in_Skin_Ca_Y_N","Indication_brief","Dz","N","substance_name","generic_name","manufacturer_name","marketing_status","reference_drug","product_number","dosage_form","route","strength","submission_number","submission_status","submission_type","submission_status_date","review_priority","submission_class_code","Subjects_Enrolled","Drug_Approval","BLA_NDA","Indication","Notes","Trial","Endpoint","END","Endpoint_shortened","EndpointNum","EE Var","EE Raw","Effect_Estimate","Major Efficacy Outcome Measure","Hazard_Ratio","Response_Rate","lb_95CI_proposed","lb_95CI","ub_95CI","Tool","Toolshort","ToolNum","Subm_Class_Skin_Confirmed_yes_no","NTE_Skin_confirmed","SingleArmNum_N_Y","RR_used_n_y","Placebo_Controlled_Trial","Comparator_Study_Placebo_Observation_or_Active_Comparator_N_Y","Regular_Approval","Accelerated_Approval","RANum","Mechanism","Mechanism_long","Mechanistic_Class","DESI_Drug","Other"
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2011-08-19,"Type 1 - New Molecular Entity",NA,"HL and sALCL","HL and sALCL",NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","1","AP","ORIG",2011-08-19,"PRIORITY","TYPE 1",NA,NA,NA,"The treatment of patients with Hodgkin lymphoma after failure of autologous stem cell transplant (ASCT) or after failure of at least two prior multi-agent chemotherapy regimens in patients who are not ASCT candidates, and The treatment of patients with systemic anaplastic large cell lymphoma (sALCL) after failure of at least one prior multi-agent chemotherapy regimen.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2011-08-19,"Efficacy",NA,NA,NA,NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","6","AP","SUPPL",2011-08-19,"PRIORITY","EFFICACY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2012-01-13,"Labeling",NA,NA,NA,NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","11","AP","SUPPL",2012-01-13,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2012-01-13,"Labeling",NA,NA,NA,NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","5","AP","SUPPL",2012-01-13,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2013-08-19,"Labeling",NA,NA,NA,NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","45","AP","SUPPL",2013-08-19,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2014-11-23,"Labeling",NA,NA,NA,NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","56","AP","SUPPL",2014-11-23,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2014-11-23,"Labeling",NA,NA,NA,NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","78","AP","SUPPL",2014-11-23,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2015-08-17,"Efficacy",NA,"HL post auto-HSCT","HL",NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","80","AP","SUPPL",2015-08-17,"PRIORITY","EFFICACY",NA,NA,NA,"A new indication for the treatment of patients with classical Hodgkin lymphoma at high risk of relapse or progression as post-autologous hematopoietic stem cell transplantation (auto-HSCT) consolidation based on the final study report from Study SGN35-005",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2015-08-17,"Labeling",NA,NA,NA,NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","81","AP","SUPPL",2015-08-17,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2016-03-04,"Labeling",NA,NA,NA,NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","84","AP","SUPPL",2016-03-04,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
